path,category,reason,real_answer_change_count,same_answer_rewrite_count,peek,other_changes
k-2-d-3/task_1.json,REAL_ANSWER_CHANGE,2 node answer(s) changed,2,0,"node 1 REAL: Edward -> 92
node 2 REAL: 92 -> Edward","node fields changed: answer:2, fact:4, source:2, subquestion:3; datasets_used changed; reasoning_chain changed; reasoning_hops changed"
k-3-d-2/task_1.json,REAL_ANSWER_CHANGE,3 node answer(s) changed,3,0,"node 1 REAL: Charlie -> 1839
node 2 REAL: 1 -> Charlie
node 3 REAL: 1839 -> 1","question wording changed; node fields changed: answer:3, fact:4, source:3, subquestion:4; datasets_used changed; reasoning_chain changed; reasoning_hops changed"
k-3-d-2/task_3.json,REAL_ANSWER_CHANGE,2 node answer(s) changed,2,0,"node 1 REAL: {""BRONX HIGH SCHOOL OF SCIENCE"": 1.0, ""BRONX SCHOOL OF LAW AND FINANCE"": 6.0, ""HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE"": 3.0, ""MA... -> [""MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES"", ""HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE"", ""RIVERDALE/KINGSBRIDGE ACADEMY (...
node 2 REAL: {""BRONX HIGH SCHOOL FOR MEDICAL SCIENCE"": 8.0, ""BRONX HIGH SCHOOL OF SCIENCE"": 2.0, ""MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES"": 12... -> [""MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES"", ""MARIE CURIE HIGH SCHOOL FOR NURSING, MEDICINE, AND ALLIED HEALTH PROFE"", ""RIVERDALE ...","question wording changed; node fields changed: answer:2, fact:3, subquestion:3; datasets_used changed; reasoning_chain changed; reasoning_hops changed"
k-3-d-3/task_6.json,REAL_ANSWER_CHANGE,1 node answer(s) changed,1,0,"node 6 REAL: {""UNITED STATES CAPITOL POLICE"": 30, ""UNITED STATES PARK POLICE"": 71, ""US. SECRET SERVICE UNIFORM DIVISION"": 32} -> UNITED STATES PARK POLICE","node fields changed: answer:1, fact:6, subquestion:7; datasets_used changed; reasoning_chain changed; reasoning_hops changed; verdict changed"
k-3-d-4/task_1.json,REAL_ANSWER_CHANGE,3 node answer(s) changed,3,0,"node 5 REAL: Chevy Chase -> Chevy Chase, Friendship Heights
node 6 REAL: Chevy Chase, Maryland -> Montgomery County, Maryland
node 7 REAL: Montgomery County -> 20","question wording changed; node fields changed: answer:3, fact:6, node_ids/count:1, source:2, subquestion:7; datasets_used changed; practical_motivation changed; reasoning_chain changed; reasoning_hops changed; verdict changed"
k-3-d-4/task_3.json,REAL_ANSWER_CHANGE,1 node answer(s) changed,1,0,"node 8 REAL: Whitman had population 47,973 -> Whitman had population 47,973 (lower than Kitsap's 275,611), county seat is Colfax","node fields changed: answer:1, fact:6, subquestion:7; datasets_used changed; reasoning_chain changed; reasoning_hops changed; verdict changed"
k-3-d-4/task_5.json,REAL_ANSWER_CHANGE,5 node answer(s) changed,5,0,"node 1 REAL: [""Herbert H Lehman High School"", ""Susan E. Wagner High School"", ""Automotive High School""] -> [""Herbert H Lehman High School"", ""Jhs 13 Jackie Robinson"", ""Susan E. Wagner High School""]
node 3 REAL: [""Susan E. Wagner High School"", ""Herbert H Lehman High School"", ""Sheepshead Bay High School""] -> [""Brooklyn Secondary School for Collaborative Studies"", ""Susan E. Wagner High School"", ""Herbert H Lehman High School""]
node 4 REAL: [""Susan E. Wagner High School"", ""Richmond Hill High School"", ""Clara Barton High School""] -> [""Susan E. Wagner High School"", ""Richmond Hill High School"", ""Acad For College Prep & Career Exploration""]
node 6 REAL: Brooklyn Bridge -> [""Brooklyn Bridge"", ""Williamsburg Bridge"", ""George Washington Bridge"", ""Verrazzano-Narrows Bridge"", ""Triborough Bridge (Suspension Span)""]
node 7 REAL: Manhattan Bridge -> [""Verrazzano-Narrows Bridge"", ""Outerbridge Crossing"", ""Goethals Bridge"", ""Bayonne Bridge""]","question wording changed; node fields changed: answer:5, fact:6, node_ids/count:1, source:2, subquestion:6; datasets_used changed; reasoning_chain changed; reasoning_hops changed"
k-3-d-4/task_7.json,REAL_ANSWER_CHANGE,2 node answer(s) changed,2,0,"node 6 REAL: [""American Folk Art Museum"", ""American Museum of Natural History"", ""Children's Museum of Manhattan"", ""New-York Historical Society"", ""Nichol... -> [""American Museum of Natural History"", ""Lincoln Center for the Performing Arts""]
node 7 REAL: 1961 -> [""American Museum of Natural History"", ""Metropolitan Museum of Art""]","question wording changed; node fields changed: answer:2, depends_on:8, fact:8, node_ids/count:1, source:1, subquestion:3; datasets_used changed; practical_motivation changed; reasoning_chain changed; reasoning_hops changed"
k-3-d-4/task_8.json,REAL_ANSWER_CHANGE,3 node answer(s) changed,3,1,"node 2 REAL: [""Hamilton Heights School"", ""Muscota"", ""P.S. 004 Duke Ellington"", ""P.S. 005 Ellen Lurie"", ""P.S. 008 Luis Belliard"", ""P.S. 028 Wright Brothe... -> [""P.S. 153 Adam Clayton Powell"", ""...""]
node 3 REAL: [""P.S. 008 Luis Belliard"", ""P.S. 028 Wright Brothers"", ""P.S. 153 Adam Clayton Powell"", ""P.S. 189""] -> [""P.S. 153 Adam Clayton Powell"", ""...""]
node 4 REAL: [""Hamilton Heights School"", ""P.S. 048 P.O. Michael J. Buczek"", ""P.S. 153 Adam Clayton Powell"", ""P.S. 189""] -> [""P.S. 153 Adam Clayton Powell"", ""...""]
node 1 SAME (format): [""P.S. 005 Ellen Lurie"", ""P.S. 008 Luis Belliard"", ""P.S. 028 Wright Brothers"", ""P.S. 048 P.O. Michael J. Buczek"", ""P.S. 128 Audubon"", ""P.S.... -> [""P.S. 005 ELLEN LURIE"", ""P.S. 008 LUIS BELLIARD"", ""P.S. 028 WRIGHT BROTHERS"", ""P.S. 048 P.O. MICHAEL J. BUCZEK"", ""P.S. 128 AUDUBON"", ""P.S....","node fields changed: answer:4, fact:4; datasets_used changed; reasoning_chain changed; reasoning_hops changed"
k-3-d-4/task_9.json,REAL_ANSWER_CHANGE,1 node answer(s) changed,1,0,"node 4 REAL: [""Alabama"", ""Arizona"", ""Louisiana"", ""Missouri"", ""Oregon"", ""South Carolina"", ""Tennessee"", ""Virginia"", ""Washington""] -> [""Arizona"", ""Alabama"", ""Louisiana"", ""Tennessee"", ""Missouri"", ""Oregon"", ""South Carolina"", ""Virginia"", ""Washington"", ""Puerto Rico""]","node fields changed: answer:1, fact:2; datasets_used changed; practical_motivation changed; reasoning_chain changed; reasoning_hops changed"
