path,category,reason,final_answer_changed,node_answer_changed,substantive_fact_changed,node_subquestion_changed,question_changed,dataset_order_only,peek
k-4-d-1/task_1.json,SMALL,datasets_used metadata changed; reasoning_hops changed/added; reasoning_chain changed/added; top-level keys differ: reasoning_chain,False,False,False,False,False,False,
k-4-d-1/task_5.json,SMALL,datasets_used metadata changed; reasoning_chain changed/added; top-level keys differ: reasoning_chain,False,False,False,False,False,False,
k-3-d-2/task_2.json,REVIEW,"no answer/substantive-fact change, but node subquestion/source/dependency/limit changed",False,False,False,False,False,False,"node 2 fact changed only in ignored import/parser/access details
node 3 fact changed only in ignored import/parser/access details
node 4 fact changed only in ignored import/parser/access details"
k-4-d-1/task_2.json,REVIEW,"no answer/substantive-fact change, but node subquestion/source/dependency/limit changed",False,False,False,True,False,False,"node 2 subquestion: In 2019 arrest data, which Area Name has the most arrests where Charge Group Description is ""Homicide""? -> In <node_1 answer> arrest data, which area has the most Homicide arrests?"
k-4-d-1/task_3.json,REVIEW,"no answer/substantive-fact change, but node subquestion/source/dependency/limit changed",False,False,False,True,False,False,"node 3 subquestion: In 2021, within borough <node_1 answer> and precinct <node_2 answer>, which non-null location-position catego... -> In the 2021 NYPD complaint data, within borough <node_1 answer> and precinct <node_2 answer>, which non-null ..."
k-4-d-3/task_6.json,REVIEW,"no answer/substantive-fact change, but node subquestion/source/dependency/limit changed",False,False,False,True,True,False,"question: Identify the Chicago city department that consistently ranked in the top five by total funding in the officia... -> Identify the Chicago city department that consistently ranked in the top five for ordinance appropriations (w...
node 1 subquestion: Which department numbers were in the top 5 by total funding in the officially approved city budget in 2019? -> Which department numbers were in the top 5 by total ordinance appropriation in each year 2019-2021? (Filter f..."
k-4-d-4/task_13.json,REVIEW,"no answer/substantive-fact change, but node subquestion/source/dependency/limit changed",False,False,False,True,True,False,"question: Among Providence hospital properties, only one met the following criteria: it had an assessed value consisten... -> Among Providence hospital properties, only one met the following criteria: it had an assessed value consisten...
node 5 subquestion: Among the Providence properties from <hop 1 answer>, which have owner names that match incorporated places in... -> Of the three properties in the intersection (City of Providence, RI Hospital, Brown University), which have o..."
k-4-d-4/task_4.json,REVIEW,"no answer/substantive-fact change, but node subquestion/source/dependency/limit changed",False,False,False,True,True,False,"question: Can you first find the terminus cities of Route 66. Among those cities, which one had higher binge drinking p... -> Can you first find the terminus cities of Route 66, among the citites, which one had higher binge drinking pr...
node 1 subquestion: What are the terminus cities of Route 66? -> What are the terminus cities of the highway that was born in Springfield, Missouri?
node 4 limit: 3 -> 
node 5 limit: 3 -> 
node 6 limit: 3 -> "
k-1-d-1/task_1.json,BIG,one or more node facts have substantive logic changes,False,False,True,True,False,False,"node 1 subquestion: For each year from 2016 through 2023, compute a growth-amplified overdose burden score as annual drug overdos... -> For each year from 2016 through 2023, compute a growth-amplified overdose burden score: annual drug overdose ...
node 1 fact diff:
@@ -2,19 +2,19 @@
-df = pd.read_csv(""datagov/vsrr-provisional-drug-overdose-death-counts/files/rows.txt"", sep=None, engine=""python"")
-df[""Year""] = pd.to_numeric(df[""Year""], errors=""coerce"")
-df[""Data Value""] = pd.to_numeric(df[""Data Value""], errors=""coerce"")
+df = pd.read_csv('datagov/vsrr-provisional-drug-overdose-death-counts/files/rows.txt', low_memory=False)
+df['Year'] = pd.to_numeric(df['Year'], errors='coerce')
+df['Data Value'] = pd.to_numeric(df['Data Value'], errors='coerce')
-    df[""Indicator""].astype(str).str.strip().eq(""Number of Drug Overdose Deaths"")
-    & df[""Period""].astype(str).str.strip().eq(""12 month-ending"")"
k-1-d-1/task_2.json,BIG,one or more node facts have substantive logic changes,False,False,True,True,False,False,"node 1 subquestion: For each year from 2005 through 2010, define Bonus Volatility-Adjusted Level (BVAL) as the draws' average New... -> For each year from 2005 through 2010, compute BVAL (Bonus Volatility-Adjusted Level) as the draws' average bo...
node 1 fact diff:
@@ -2,18 +2,11 @@
-df = pd.read_csv(""datagov/lottery-ny-lotto-winning-numbers-beginning-2001/files/rows.txt"", sep=None, engine=""python"")
-df[""Draw Date""] = pd.to_datetime(df[""Draw Date""], errors=""coerce"")
-df[""Bonus #""] = pd.to_numeric(df[""Bonus #""], errors=""coerce"")
-df[""Year""] = df[""Draw Date""].dt.year
+df = pd.read_csv('datagov/lottery-ny-lotto-winning-numbers-beginning-2001/files/rows.txt')
+df['Draw Date'] = pd.to_datetime(df['Draw Date'], errors='coerce')
+df['Bonus #'] = pd.to_numeric(df['Bonus #'], errors='coerce')
+df['year'] = df['Draw Date'].dt.year"
k-1-d-1/task_3.json,BIG,one or more node facts have substantive logic changes,False,False,True,True,True,False,"question: Define a yearly Passenger Instability-Adjusted Load (PIAL) as annual total CTA bus passengers across all rout... -> Define a yearly Passenger Instability-Adjusted Load (PIAL) as: annual total CTA bus passengers across all rou...
node 1 subquestion: Define a yearly Passenger Instability-Adjusted Load (PIAL) as annual total CTA bus passengers across all rout... -> For each year from 2006 through 2010, compute PIAL (Passenger Instability-Adjusted Load) as annual total CTA ...
node 1 fact diff:
@@ -2,13 +2,12 @@
-df = pd.read_csv(""datagov/cta-ridership-bus-routes-monthly-day-type-averages-totals/files/rows.txt"", sep=None, engine=""python"")
-df[""Month_Beginning""] = pd.to_datetime(df[""Month_Beginning""], errors=""coerce"")
-df[""MonthTotal""] = pd.to_numeric(df[""MonthTotal""], errors=""coerce"")
-df[""Year""] = df[""Month_Beginning""].dt.year
+df = pd.read_csv('datagov/cta-ridership-bus-routes-monthly-day-type-averages-totals/files/rows.txt')
+df['Month_Beginning'] = pd.to_datetime(df['Month_Beginning'], errors='coerce')
+df['MonthTotal'] = pd.to_numeric(df['MonthTotal'], errors='coerce')
+df['year'] = df['Month_Beginning'].dt.year"
k-2-d-3/task_1.json,BIG,one or more node answers changed; one or more node facts have substantive logic changes,False,True,True,True,False,False,"node 1 subquestion: In 2022, which APD patrol sector had the most searches due to illegal items in plain view? -> In 2022, what is the highest number of incidents where an officer applies weapon across any NOPD divisions?
node 1 answer: Edward -> 92
node 1 source: datagov/apd-searches-by-type/files/rows.txt -> datagov/nopd-use-of-force-incidents/files/rows.txt
node 2 answer: 92 -> Edward
node 1 fact diff:
@@ -3,16 +3,11 @@
+from botocore import UNSIGNED
+from botocore.config import Config
-source = ""datagov/apd-searches-by-type/files/rows.txt""
+source = ""datagov/nopd-use-of-force-incidents/files/rows.txt""
-obj = boto3.client(""s3"").get_object(Bucket=bucket, Key=source)
+obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)
-year = pd.to_numeric(df[""Occurred Year""], errors=""coerce"")
-search_basis = df[""TCOLE Search Based On""].astype(str).str.strip()
node 2 fact diff:
@@ -3,9 +3,18 @@
+from botocore import UNSIGNED
+from botocore.config import Config
-source = ""datagov/nopd-use-of-force-incidents/files/rows.txt""
+source = ""datagov/apd-searches-by-type/files/rows.txt""
-obj = boto3.client(""s3"").get_object(Bucket=bucket, Key=source)
+obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)
-filtered = df[df[""Date Occurred""].astype(str).str.contains(""2022"", na=False)]
-counts = filtered[""Division level""].astype(str).str.strip().replace("""", pd.NA).dropna().value_counts()"
