benchmark,model_variant,mode_label,mode,n_total,n_complete,n_pending,n_comparable,n_not_comparable,n_followed_strict,followed_strict_fraction_all,followed_strict_pct_all,followed_strict_fraction_comparable,followed_strict_pct_comparable,n_followed_or_mostly,followed_or_mostly_fraction_all,followed_or_mostly_pct_all,followed_or_mostly_fraction_comparable,followed_or_mostly_pct_comparable,n_followed,followed_fraction_all,followed_pct_all,n_mostly_followed,mostly_followed_fraction_all,mostly_followed_pct_all,n_partially_followed,partially_followed_fraction_all,partially_followed_pct_all,n_missed_crucial_steps,missed_crucial_steps_fraction_all,missed_crucial_steps_pct_all,n_did_not_follow,did_not_follow_fraction_all,did_not_follow_pct_all,not_comparable_fraction_all,not_comparable_pct_all,n_pending_label,pending_fraction_all
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,83,83,0,83,0,37,37/83,44.6,37/83,44.6,54,54/83,65.1,54/83,65.1,37,37/83,44.6,17,17/83,20.5,14,14/83,16.9,10,10/83,12.0,5,5/83,6.0,0/83,0.0,0,0/83
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,83,83,0,83,0,51,51/83,61.4,51/83,61.4,70,70/83,84.3,70/83,84.3,51,51/83,61.4,19,19/83,22.9,6,6/83,7.2,5,5/83,6.0,2,2/83,2.4,0/83,0.0,0,0/83
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,83,83,0,83,0,35,35/83,42.2,35/83,42.2,59,59/83,71.1,59/83,71.1,35,35/83,42.2,24,24/83,28.9,9,9/83,10.8,11,11/83,13.3,4,4/83,4.8,0/83,0.0,0,0/83
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,83,83,0,83,0,40,40/83,48.2,40/83,48.2,59,59/83,71.1,59/83,71.1,40,40/83,48.2,19,19/83,22.9,6,6/83,7.2,12,12/83,14.5,6,6/83,7.2,0/83,0.0,0,0/83
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,83,83,0,83,0,35,35/83,42.2,35/83,42.2,68,68/83,81.9,68/83,81.9,35,35/83,42.2,33,33/83,39.8,5,5/83,6.0,9,9/83,10.8,1,1/83,1.2,0/83,0.0,0,0/83
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,83,83,0,83,0,25,25/83,30.1,25/83,30.1,50,50/83,60.2,50/83,60.2,25,25/83,30.1,25,25/83,30.1,14,14/83,16.9,14,14/83,16.9,5,5/83,6.0,0/83,0.0,0,0/83
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,135,135,0,133,2,17,17/135,12.6,17/133,12.8,62,62/135,45.9,62/133,46.6,17,17/135,12.6,45,45/135,33.3,31,31/135,23.0,34,34/135,25.2,6,6/135,4.4,2/135,1.5,0,0/135
lakeqa,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,135,135,0,135,0,32,32/135,23.7,32/135,23.7,74,74/135,54.8,74/135,54.8,32,32/135,23.7,42,42/135,31.1,33,33/135,24.4,23,23/135,17.0,5,5/135,3.7,0/135,0.0,0,0/135
lakeqa,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,135,135,0,135,0,30,30/135,22.2,30/135,22.2,66,66/135,48.9,66/135,48.9,30,30/135,22.2,36,36/135,26.7,32,32/135,23.7,29,29/135,21.5,8,8/135,5.9,0/135,0.0,0,0/135
lakeqa,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,135,135,0,135,0,10,10/135,7.4,10/135,7.4,31,31/135,23.0,31/135,23.0,10,10/135,7.4,21,21/135,15.6,29,29/135,21.5,60,60/135,44.4,15,15/135,11.1,0/135,0.0,0,0/135
lakeqa,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,135,135,0,135,0,8,8/135,5.9,8/135,5.9,42,42/135,31.1,42/135,31.1,8,8/135,5.9,34,34/135,25.2,14,14/135,10.4,58,58/135,43.0,21,21/135,15.6,0/135,0.0,0,0/135
lakeqa,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,135,135,0,135,0,8,8/135,5.9,8/135,5.9,26,26/135,19.3,26/135,19.3,8,8/135,5.9,18,18/135,13.3,19,19/135,14.1,63,63/135,46.7,27,27/135,20.0,0/135,0.0,0,0/135
