benchmark,model_variant,mode_label,mode,trajectory_alignment,n,fraction_all,pct_all,fraction_comparable,pct_comparable
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,did_not_follow,5,5/83,6.0,5/83,6.0
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,followed,37,37/83,44.6,37/83,44.6
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,missed_crucial_steps,10,10/83,12.0,10/83,12.0
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,mostly_followed,17,17/83,20.5,17/83,20.5
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,partially_followed,14,14/83,16.9,14/83,16.9
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,did_not_follow,2,2/83,2.4,2/83,2.4
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,followed,51,51/83,61.4,51/83,61.4
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,missed_crucial_steps,5,5/83,6.0,5/83,6.0
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,mostly_followed,19,19/83,22.9,19/83,22.9
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,partially_followed,6,6/83,7.2,6/83,7.2
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,did_not_follow,4,4/83,4.8,4/83,4.8
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,followed,35,35/83,42.2,35/83,42.2
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,missed_crucial_steps,11,11/83,13.3,11/83,13.3
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,mostly_followed,24,24/83,28.9,24/83,28.9
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,partially_followed,9,9/83,10.8,9/83,10.8
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,did_not_follow,6,6/83,7.2,6/83,7.2
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,followed,40,40/83,48.2,40/83,48.2
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,missed_crucial_steps,12,12/83,14.5,12/83,14.5
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,mostly_followed,19,19/83,22.9,19/83,22.9
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,partially_followed,6,6/83,7.2,6/83,7.2
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,did_not_follow,1,1/83,1.2,1/83,1.2
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,followed,35,35/83,42.2,35/83,42.2
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,missed_crucial_steps,9,9/83,10.8,9/83,10.8
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,mostly_followed,33,33/83,39.8,33/83,39.8
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,partially_followed,5,5/83,6.0,5/83,6.0
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,did_not_follow,5,5/83,6.0,5/83,6.0
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,followed,25,25/83,30.1,25/83,30.1
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,missed_crucial_steps,14,14/83,16.9,14/83,16.9
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,mostly_followed,25,25/83,30.1,25/83,30.1
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,partially_followed,14,14/83,16.9,14/83,16.9
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,did_not_follow,6,6/135,4.4,6/133,4.5
